Location name,Latitude,Longitude,Coordinates type,Material identifier,Short references,Original material identifier,Material type,Taxon rank,Taxon name,Reported biological identification,Fish category,Plant metabolism,Context,Relative dating - lower limit,Relative dating - upper limit,Relative dating timescale,Sample identifier,Sample type,Bone,Combustion stage,Dataset DOI,Result type,δ13C (‰vpdb),δ13C (‰vpdb) uncertainty,δ13C uncertainty type,δ15N (‰air),δ15N (‰air) uncertainty,δ15N uncertainty type,δ34S uncertainty type,Country
Archontiko,40.78631,22.46671,exact,2018.001.1266,Nitsch et al. (2017),ARB037,plant,species,triticum monococcum,einkorn,,C3,archaeological,-2130,-1414,BCE/CE,2018.001.1368,grain,,charred,10.48530/isoarch.2018.001,exact,-21.9,,,4,,,,Greece
Archontiko,40.78631,22.46671,exact,2018.001.1267,Nitsch et al. (2017),ARB038,plant,species,triticum monococcum,einkorn,,C3,archaeological,-1516,-1414,BCE/CE,2018.001.1369,grain,,charred,10.48530/isoarch.2018.001,exact,-23.1,,,2.3,,,,Greece
Archontiko,40.78631,22.46671,exact,2018.001.1268,Nitsch et al. (2017),ARB039,plant,species,triticum monococcum,einkorn,,C3,archaeological,-1516,-1414,BCE/CE,2018.001.1370,grain,,charred,10.48530/isoarch.2018.001,exact,-22.8,,,1.5,,,,Greece
Archontiko,40.78631,22.46671,exact,2018.001.1269,Nitsch et al. (2017),ARB040,plant,species,triticum monococcum,einkorn,,C3,archaeological,-2130,-1414,BCE/CE,2018.001.1371,grain,,charred,10.48530/isoarch.2018.001,exact,-23.9,,,4.2,,,,Greece
Archontiko,40.78631,22.46671,exact,2018.001.1270,Nitsch et al. (2017),ARB041,plant,species,triticum monococcum,einkorn,,C3,archaeological,-1516,-1414,BCE/CE,2018.001.1372,grain,,charred,10.48530/isoarch.2018.001,exact,-21.8,,,2.7,,,,Greece
Archontiko,40.78631,22.46671,exact,2018.001.1271,Nitsch et al. (2017),ARB042,plant,species,triticum monococcum,einkorn,,C3,archaeological,-1516,-1414,BCE/CE,2018.001.1373,grain,,charred,10.48530/isoarch.2018.001,exact,-22.7,,,2.5,,,,Greece
Archontiko,40.78631,22.46671,exact,2018.001.1272,Nitsch et al. (2017),ARB043,plant,species,triticum monococcum,einkorn,,C3,archaeological,-1516,-1414,BCE/CE,2018.001.1374,grain,,charred,10.48530/isoarch.2018.001,exact,-23,,,2.8,,,,Greece
Archontiko,40.78631,22.46671,exact,2018.001.1273,Nitsch et al. (2017),ARB044,plant,species,triticum monococcum,einkorn,,C3,archaeological,-1516,-1414,BCE/CE,2018.001.1375,grain,,charred,10.48530/isoarch.2018.001,exact,-22.8,,,4,,,,Greece
Archontiko,40.78631,22.46671,exact,2018.001.1274,Nitsch et al. (2017),ARB045,plant,species,triticum monococcum,einkorn,,C3,archaeological,-1516,-1414,BCE/CE,2018.001.1376,grain,,charred,10.48530/isoarch.2018.001,exact,-22.6,,,2.7,,,,Greece
Archontiko,40.78631,22.46671,exact,2018.001.1275,Nitsch et al. (2017),ARB046,plant,species,triticum monococcum,einkorn,,C3,archaeological,-2130,-1414,BCE/CE,2018.001.1377,grain,,charred,10.48530/isoarch.2018.001,exact,-24,,,4.4,,,,Greece
Archontiko,40.78631,22.46671,exact,2018.001.1276,Nitsch et al. (2017),ARB047,plant,species,triticum monococcum,einkorn,,C3,archaeological,-1516,-1414,BCE/CE,2018.001.1378,grain,,charred,10.48530/isoarch.2018.001,exact,-22.6,,,2.8,,,,Greece
Archontiko,40.78631,22.46671,exact,2018.001.1277,Nitsch et al. (2017),ARB048,plant,species,triticum monococcum,einkorn,,C3,archaeological,-1516,-1414,BCE/CE,2018.001.1379,grain,,charred,10.48530/isoarch.2018.001,exact,-22.6,,,3.3,,,,Greece
Archontiko,40.78631,22.46671,exact,2018.001.1278,Nitsch et al. (2017),ARB049,plant,species,triticum monococcum,einkorn,,C3,archaeological,-2130,-1414,BCE/CE,2018.001.1380,grain,,charred,10.48530/isoarch.2018.001,exact,-23.8,,,5.1,,,,Greece
Archontiko,40.78631,22.46671,exact,2018.001.1279,Nitsch et al. (2017),ARB050,plant,species,triticum monococcum,einkorn,,C3,archaeological,-1516,-1414,BCE/CE,2018.001.1381,grain,,charred,10.48530/isoarch.2018.001,exact,-22.5,,,1,,,,Greece
Archontiko,40.78631,22.46671,exact,2018.001.1280,Nitsch et al. (2017),ARB051,plant,species,triticum monococcum,einkorn,,C3,archaeological,-2130,-1414,BCE/CE,2018.001.1382,grain,,charred,10.48530/isoarch.2018.001,exact,-23.1,,,3,,,,Greece
Archontiko,40.78631,22.46671,exact,2018.001.1281,Nitsch et al. (2017),ARB052,plant,species,triticum monococcum,einkorn,,C3,archaeological,-2130,-1414,BCE/CE,2018.001.1383,grain,,charred,10.48530/isoarch.2018.001,exact,-24.3,,,3.9,,,,Greece
Archontiko,40.78631,22.46671,exact,2018.001.1282,Nitsch et al. (2017),ARB053,plant,species,triticum monococcum,einkorn,,C3,archaeological,-1516,-1414,BCE/CE,2018.001.1384,grain,,charred,10.48530/isoarch.2018.001,exact,-22.8,,,2.9,,,,Greece
Archontiko,40.78631,22.46671,exact,2018.001.1283,Nitsch et al. (2017),ARB054,plant,species,triticum monococcum,einkorn,,C3,archaeological,-1516,-1414,BCE/CE,2018.001.1385,grain,,charred,10.48530/isoarch.2018.001,exact,-22.6,,,4.4,,,,Greece
